,eevp,eevp_source,vote_share_trd,trump2016,votes2012,votes2016,expected_votes,state,timestamp,hour_seconds,time_cat,vote_share_rep,vote_share_dem,votes,num_Trump,num_Biden,new_Trump,new_Biden,id,diff,d1_NEW,r_NEW,rabs_NEW,diff_cat,outlier,weird,
2618,17,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:22:16Z,00:22:16Z,4-Nov,0.564,0.421,396341,223536.324,166859.561,3825.162,803.353,2618,0.143,3.25E-08,-0.036349418,0.036349418,low,normal,normal,
1134,3,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:22:23Z,00:22:23Z,4-Nov,0.433,0.556,174448,75535.984,96993.088,365.392,71.746,1134,0.123,4.63E-07,0.134017607,0.134017607,low,normal,normal,
792,91,edison,0,673215,1558993,1644920,1850000,connecticut,2020-11-05T00:22:44Z,00:22:44Z,5-Nov,0.401,0.584,1680255,673782.255,981268.92,51.328,1754.879,792,0.183,2.07E-06,0.081241762,0.081241762,high,normal,normal,
895,43,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:22:49Z,00:22:49Z,4-Nov,0.501,0.49,5036107,2523089.607,2467692.43,140773.288,114021.197,895,0.011,0.004682579,-3.413829582,3.413829582,low,outlier,normal,
6615,0,edison,0,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:22:53Z,00:22:53Z,4-Nov,0.664,0.336,3266,2168.624,1097.376,525.356,144.644,6615,0.328,4.19E-07,0.127703299,0.127703299,high,normal,normal,
1135,3,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:22:53Z,00:22:53Z,4-Nov,0.434,0.555,175150,76015.1,97208.25,479.116,215.162,1135,0.121,4.56E-07,0.133191789,0.133191789,low,normal,normal,
6438,87,edison,0,2970733,5742040,6166708,7000000,pennsylvania,2020-11-05T00:22:55Z,00:22:55Z,5-Nov,0.513,0.475,6192278,3176638.614,2941332.05,11153.166,22187.882,6438,0.038,2.10E-05,0.258058747,0.258058747,low,normal,normal,
896,43,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:23:01Z,00:23:01Z,4-Nov,0.501,0.49,5036380,2523226.38,2467826.2,136.773,133.77,896,0.011,5.79E-07,0.149689664,0.149689664,low,normal,normal,
897,45,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:23:35Z,00:23:35Z,4-Nov,0.501,0.49,5262968,2636746.968,2578854.32,113520.588,111028.12,897,0.011,0.001000567,-1.958597183,1.958597183,low,outlier,normal,
898,45,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:23:47Z,00:23:47Z,4-Nov,0.502,0.489,5281884,2651505.768,2582841.276,14758.8,3986.956,898,0.013,7.13E-06,-0.539886217,0.539886217,low,normal,normal,
1136,3,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:23:58Z,00:23:58Z,4-Nov,0.434,0.555,175264,76064.576,97271.52,49.476,63.27,1136,0.121,5.98E-07,0.151906994,0.151906994,low,normal,normal,
899,46,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:24:00Z,00:24:00Z,4-Nov,0.498,0.493,5396506,2687459.988,2660477.458,35954.22,77636.182,899,0.005,5.46E-05,1.182859703,1.182859703,low,normal,normal,
4953,1,edison,0,345790,710972,744296,805000,new-hampshire,2020-11-04T00:24:02Z,00:24:02Z,4-Nov,0.288,0.712,7298,2101.824,5196.176,624.254,1358.746,4953,0.424,7.47E-07,0.1705561,0.1705561,high,normal,normal,
6616,0,edison,0,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:24:07Z,00:24:07Z,4-Nov,0.672,0.328,3568,2397.696,1170.304,229.072,72.928,6616,0.344,5.20E-07,0.141930562,0.141930562,high,normal,normal,
